Judul,Author,Genre,Year,Rating
Pengantar Akuntansi : Konsep Dasar Akuntansi Serta Latihan Soal,"Cindy Nathalia, S.E., M.Ak.",Pengantar Akuntansi,2023.0,5.0
225 Soal Jawab Akuntansi Dasar (Cover Baru),"Hery, S.E, M.Si",Akuntansi,2013.0,5.0
"Akuntansi Keperilakuan, Teori Dan Implementasi",I Wayan Suartana,Akuntansi,2019.0,5.0
Pengantar Akuntansi Jasa,Rahmat Hidayat Lubis,Akuntansi,2018.0,5.0
Teori Akuntansi,"Hery, Se",Akuntansi,2023.0,5.0
Akuntansi Untuk Bisnis Pemula,Harsono Yoewono,Akuntansi,2023.0,5.0
Akuntansi Syariah,Sri Dewi Anggadini,Akuntansi,2017.0,5.0
Praktikum Akuntansi Entitas Jasa Dan Entitas Dagang,"Syaiful Bahri, S.E., M.SA, Akt.",Akuntansi,2018.0,5.0
Akuntansi Manajemen,Kamaruddin Ahmad,Akuntansi Manajemen,2017.0,5.0
Akuntansi Keuangan Berbasis PSAK,Ati Retna Sari,Akuntansi KEUangan,2017.0,5.0
Dasar - Dasar Akuntansi,Lili M,Akuntansi,2020.0,5.0
Buku Pintar Aplikasi Akuntansi Dengan Sistem Otomatisasi CEA (Click Excel Accounting),Moch Tofik,Akuntansi,2017.0,4.0
Kebijakan Akuntansi Akrual Pemerintah Daerah,"Drs. Bambang Supriyadi, B.E., M.Si",Akuntansi,2020.0,5.0
Pengantar Akuntansi Keuangan Daerah,Ramli Faud,Akuntansi,2015.0,5.0
Akuntansi Usaha Kecil Menengah (UKM),"Dr. Wiyarni, Mspa., Ak., Ca., Csp  Enggar Nursasi,se., Mm., Ak., Ca,  Prof. Dr. Muslichah Se, M.ec, Ca,ak, Csp,",Akuntansi,2017.0,5.0
Mahir dan Terampil Akuntansi Perusahaan Jasa dan Dagang,Alexander Hery,Akuntansi,2022.0,4.9
Akuntansi Keperilakuan,SIGIT HERMAWAN; SARWENDA BIDURI,Akuntansi,2019.0,5.0
Akuntansi Keperilakuan,"Sri Wahyuni, Jogiyanto Hartono",Akuntansi,2020.0,5.0
