Judul,Author,Genre,Year,Rating
Sistem Informasi Akuntansi,Krismiaji,Sistem Informasi Akuntansi,2023.0,5.0
Akuntansi Biaya Ed 5,Drs Mulyadi,Akuntansi Biaya,2014.0,5.0
Sistem Informasi Akuntansi Buku 2,Dasaratha V Rama,Sistem Informasi Akuntansi,2018.0,5.0
Sistem Informasi Akuntansi Ed 4,Krismiaji,Sistem Informasi Akuntansi,2021.0,4.8
Sistem Informasi Akuntansi,Mardi,Sistem Informasi Akuntansi,2014.0,4.7
Praktik Komputer Akuntansi Dengan Myob  Premier V19,WIBOWO-ALI MAHMUDI,Sistem Informasi Akuntansi,2018.0,5.0
Penyusunan Laporan Keuangan Dengan Myob V19,"Rahmat Hidayat Lubis, S.e., Ak.",Sistem Informasi Akuntansi,2016.0,5.0
Desain dan Analisis Pengembangan Sistem Informasi Akuntansi,"Dr Lilis Puspitawati, S.E.,M.Si., Ak., Ca., Crp.,Csrs Dan Dr. Sri Dewi Anggadini, SE., M.Si., Ak., CA.",Sistem Informasi Akuntansi,2022.0,5.0
Standar Akuntansi Keuangan (SAK) 1 September 2007,Ikatan Akuntan Indonesia,Akuntansi Keuangan,2017.0,4.35
Standar Akuntansi Keuangan (SAK) 1 September 2007,Ikatan Akuntan Indonesia,Akuntansi Keuangan,2016.0,4.35
AKUTANSI KEUANGAN BERBASIS PSAK,RAMADONA SIMBOLON,Akuntansi KEUangan,2020.0,4.9
"Kosa Kata, Inggeris Indonesia: Untuk Memahami Buku Buku Teks Ekonomi, Manajemen, Dan Akuntansi",Darnis Nawawi,Kamus Akuntansi,2018.0,3.0
Perpajakan: Teori dan Studi Kasus,Siti Resmi,Perpajakan,2018.0,4.45
Akuntansi Biaya Buku 1 Ed 2,Supriyono,Akuntansi Biaya,2011.0,4.7
Akuntansi Manajemen 2 Ed 5,Atkinson,Akuntansi Manajemen,2015.0,5.0
Akuntansi Manajemen 1 Ed 5,"Anthony A. Atkinson, Robert S. Kaplan, Ella Mae Matsumura, S. Mark Young",Akuntansi Manajemen,2018.0,4.5
Perpajakan Teori & Kasus Edisi 11 Buku 1,Siti Resmi,Perpajakan,2019.0,5.0
Intermediate Accounting Edisi 9,Zaki Baridwan,Akuntansi Lanjutan,2017.0,5.0
Akuntansi Biaya Jilid 1,Riwayadi,Akuntansi Biaya,2020.0,4.58
Akuntansi Intermediate Jilid 3,Rudianto,Akuntansi Intermediate,2016.0,4.37
Kajian Riset Akuntansi: Mengulas Berbagai Hasil Penelitian Terkini dalam Bidang Akuntansi dan Keuangan,Hery,Riset Akuntansi,2017.0,4.8
KOMPUTERISASI AKUNTANSI SEDERHANA,Sugiarto Prajitno,Akuntansi Komputer,2012.0,5.0
Akuntansi Keuangan Lanjutan,"Dr. Abdul Halim,Se,Mm,Ak",Akuntansi Lanjutan,2022.0,5.0
Mahir Akuntansi Pajak Terapan Berbasisi Standar Akuntansi & Ketentuan Pajak Terbaru,Irsan Lubis,Akuntansi Pajak,2015.0,5.0
Ideologi Akuntansi Islam,"Alimuddin   Dr. Alimuddin, S.E., M.M., Ak.",Akuntansi Syariah,2016.0,4.8
Akuntansi Keuangan Menengah 2,Hery,Akuntansi Lanjutan,2021.0,5.0
Akuntansi Keuangan Menengah 1,Hery,Akuntansi Lanjutan,2013.0,5.0
Akuntansi Keuangan Menengah I,"Rahmat Hidayat Lubis, S.e., Ak.  Ratna Sari Dewi, S.E., S.Pd., M.Si.",Akuntansi Lanjutan,2017.0,5.0
Akuntansi Keuangan Menengah,"Mia Lasmini Wardiyah,sp",Akuntansi Lanjutan,2023.0,5.0
Akuntansi&Rahasia Di Baliknya U/ Para Manajer Non Akuntansi,"Hery, Se",Akuntansi Manajerial,2012.0,5.0
Akuntansi Pajak Lanjutan,Djoko Muljono,Akuntansi Pajak,2010.0,5.0
Akuntansi Biaya: Perencanaan dan Pengendalian Biaya serta Pembuatan Keputusan Buku 2 Edisi 2,Supriyono,Akuntansi Biaya,2023.0,5.0
Akuntansi Biaya (E5),"FIRDAUS DUNIA, DKK",Akuntansi Biaya,2019.0,5.0
