Judul,Author,Genre,Year,Rating
Manajemen Keuangan,"PROF. DR. HAMIDAH, SE.,M.SI.",Manajemen Keuangan,2019.0,5.0
Manajemen Keuangan,Fandy Tjiptono & Anastasia Diana,Manajemen Keuangan,2022.0,5.0
"Manajemen Keuangan Korporat; Teori, Analisis, Dan Aplikasi D",Prof. Dr. Sukmawati Sukamulja,Manajemen Keuangan,2021.0,5.0
Manajemen Keuangan Fundamental Single Edition,Prof. Dr. Bambang Sugeng,Manajemen Keuangan,2017.0,4.9
Manajemen Keuangan Perusahaan dan Pasar Modal,Irham Fahmi,Manajemen Keuangan,2012.0,5.0
Manajemen Keuangan Daerah,Mahmudi,Manajemen Keuangan,2010.0,4.15
Manajemen Keuangan Perusahaan,I Made Sudana,Manajemen Keuangan,2011.0,4.2
Dasar-Dasar Manajemen Keuangan,Niki Lukviarman,Manajemen Keuangan,2016.0,4.21
Manajemen Keuangan Rumah Sakit,Boy S. Sabarguna,Manajemen Keuangan,2019.0,3.96
Dasar-Dasar Manajemen Keuangan Perusahaan (Jilid 2),Richard A. Brealey,Manajemen Keuangan,2020.0,4.06
Manajemen Keuangan Multinasional - Jilid 1,David K. Eiteman,Manajemen Keuangan,2010.0,3.73
Pengantar Manajemen Keuangan,Kasmir,Manajemen Keuangan,2019.0,4.47
Manajemen Keuangan Modern,Diana Sandjaja,Manajemen Keuangan,2013.0,4.67
Milenialnomics - Mengatur Keuangan dengan Bahagia,Haryo Setyo Wibowo,Manajemen Keuangan,2019.0,3.69
Manajemen Keuangan Multinasional - Jilid 2,"David K. Eiteman
Arthur I. Stonehill
Michael H. Moffett",Manajemen Keuangan,2011.0,3.9
Manajemen Keuangan,Musthafa,Manajemen Keuangan,2017.0,3.0
MANAJEMEN KEUANGAN STRATEGIK,Ubud Salim,Manajemen Keuangan,2011.0,5.0
Manajemen Keuangan dan Akuntansi Perusahaan Pelayaran :Suatu Pendekatan Praktis dalam Bidang Usaha Pelayaran,Engkos Kosasih,Manajemen Keuangan,2018.0,4.43
Manajemen Keuangan bagi Manajer Nonkeuangan,Aries Heru Prasetyo,Manajemen Keuangan,2011.0,5.0
Manajemen Keuangan Teori Konsep dan Aplikasi,Sutrisno,Manajemen Keuangan,2017.0,5.0
Manajemen Keuangan Konsep dan Penerapannya,David Wijaya,Manajemen Keuangan,2017.0,4.0
Cara Gampang Mengelola Keuangan Pribadi dan Keluarga,"Indrasto Budisantoso,Gunanto",Manajemen Keuangan,2010.0,4.0
Menjadi CFO Terbaik: Perencanaan Stratejik Manajemen Keuangan,Hessel Nogi S. Tangkilisan,Manajemen Keuangan,2021.0,3.0
Mengelola Keuangan Pribadi dengan Mircrosoft Excel,Jubilee Enterprise,Manajemen Keuangan,2014.0,3.67
Kiat Mengelola Keuangan Mahasiswa,Nur Fitri Nabila,Manajemen Keuangan,2021.0,5.0
Manajemen Keuangan Daerah,Kevin Lane Keller,Manajemen Keuangan,2015.0,4.15
Dasar-Dasar Manajemen Keuangan,Niki Lukviarman,Manajemen Keuangan,2006.0,4.21
Manajemen Keuangan Rumah Sakit,Boy S. Sabarguna,Manajemen Keuangan,2017.0,3.96
Dasar-Dasar Manajemen Keuangan Perusahaan (Jilid 2),"Richard A. Brealey, Stewart C. Myers,Alan J. Marcus",Manajemen Keuangan,2019.0,4.06
Manajemen Keuangan Multinasional - Jilid 1,"David K. Eiteman, Arthur I. Stonehill, Michael H. Moffett",Manajemen Keuangan,2010.0,3.73
Manajemen Keuangan Modern,"Ahmad Rodoni,Ali Herni",Manajemen Keuangan,2014.0,4.67
Manajemen Keuangan Konsep dan Penerapannya,David Wijaya,Manajemen Keuangan,2016.0,4.0
Manajemen Keuangan - Konsep Dasar Dan Penerapan Edisi Revisi,Dr Kamaludin,Manajemen Keuangan,2022.0,3.0
Manajemen Keuangan Multinasional Edisi 11 Jilid 1,David K,Manajemen Keuangan,2020.0,4.8
Pengantar Ilmu Manajemen,"Dr. Saryanto, S.Pd.T., M.Pd.",Manajemen Umum,2023.0,4.8
Pengantar Manajemen,"Dr. Veronika Wiratna Sujarweni, S.E., M.M., M.T., dkk.",Manajemen Umum,2024.0,3.3
Manajemen Pajak: Strategi Pintar Merencanakan Dan Mengelola,"Indra Mahardika Putra S.E., AK., M.AK.",Manajemen Keuangan,2019.0,4.0
Pengantar Manajemen,Catharina Vista Okta Frida,Manajemen Umum,2021.0,4.0
Manajemen Keuangan Desa,Didit Herlianto,Manajemen Keuangan,2021.0,4.0
Manajemen Investasi dan Portofolio,"Dr. Darmawan, M.A.B., CFRM.",Manajemen Keuangan,2023.0,3.0
Manajemen Risiko Ed 3,Mamduh M. Hanafi,Manajemen Risiko,2019.0,4.9
Pengantar Manajemen,R.Supomo,Manajemen Umum,2017.0,4.6
Manajemen Pembiayaan Paud; Konsep Dan Praktiknya Dalam Penye,"Dr. Novan Ardy Wiyani, M.Pd.I",Manajemen Keuangan,2020.0,4.5
Ekonomi Manajemen : Ekonomi Manajerial,"Intan Oktaviani S.Kom.,M.Kom, Dan Rizki Pujiyanto S.E., M.M",Manajemen Keuangan,2023.0,5.0
Manajemen  Investasi & Portofolio,Jaja Suteja & Ardi Gunardi,Manajemen Keuangan,2016.0,5.0
Cara Cepat dan Mudah Memahami Pengantar Manajemen Ed.2,"Hery, S.e., M.si., Rsa., Crp.",Manajemen Umum,2017.0,5.0
Manajemen Finansial dengan Excel,Tim Ems,Manajemen Keuangan,2016.0,5.0
Pengantar Manajemen Edisi Revisi,"DR. H. Fauzi, S.E., M.KOM., AKT., CA.",Manajemen Umum,2018.0,5.0
Mandarin Untuk Manajemen Perhotelan,"Destia iryanti,B.Ed.,MTCSOL Fauzi Adi Rafrastara, M.CS",Manajemen Perhotelan,2021.0,5.0
Manajemen Pengantar Ed Revisi,Agus S,Manajemen Pengantar,2019.0,4.8
Pengantar Manajemen Bisnis,"DR. BAMBANG SURYANTO, M.M., PH.D. & DRS. DARYANTO",Manajemen Bisnis,2019.0,4.8
Pengantar Manajemen Pendidikan,"Noer Rohmah,m.pd.i, Zaenal Fanani, M.pd.i",Manajemen Pengantar,2017.0,5.0
Manajemen Dana dan Pembiayaan BMT,"Dr. Riduwan, SE, M.Ag dan Sutardi, SHI. M.Ek",Manajemen Keuangan,2013.0,4.5
Prinsip2 Manajemen,George R.terry,Manajemen,2016.0,4.9
