judul,tahun_terbit,kategori,penulis,total_peminjam
"Manajemen Strategis : Kajian Keputusan Manajerial Bisnis Berdasar Perubahan Lingkungan Bisnis, Ekonomi, Sosial, Dan Politik",2015,Manajemen Strategi," Abdul Rivai, Darsono Prawironegoro,Darsono Prawironegoro",6
"Manajemen Sumber Daya Manusia: Teori, Aplikasi dan Isu Penelitian",2013,Manajemen Sumber Daya Manusia," Suwatno, Tjutju Yuniarsih,Suwatno",6
"Metode Penelitian Bisnis : Pendekatan Kuantitatif, Kualitatif dan R&D",2013,Bisnis," SUGIYONO,SUGIYONO",6
Pajak Terapan Brevet A&B Buku 2 Edisi 2011 Revisi,2011,Perpajakan," SUBIYAKTO, Teguh Hadi, WARDOYO,Amin,WARDOYO",6
Pendidikan Kewarganegaraan,2015,Ilmu Politik dan Pemerintahan," Tim Nasional Dosen Pendidikan Kewarganegaraan,Tim Nasional Dosen Pendidikan Kewarganegaraan",6
Pengantar Akuntansi 2 Edisi II,2016,Akuntansi," Agus Purwaji, Hexana Sri Lastanti, WIBOWO,WIBOWO",6
Pengantar Ekonomi Makro Edisi Asia Volume 2,2014,Ekonomi Makro," Euston Quah, N. Gregory Mankiw, Peter Wilson,N. Gregory Mankiw",6
Pengantar Ilmu Ekonomi : Mikroekonomi & Makroekonomi Ed. 3,2017,Ilmu Ekonomi," MANURUNG, Mandala, Prathama, RAHARDJA,RAHARDJA",6
Perbankan Syariah,2019,Ekonomi Keuangan," Khotibul Umam, Setiawan Budi Utomo,Khotibul Umam",6
Perencanaan Pengembangan Daerah Tujuan Pariwisata,2019,Kewirausahaan," Dr. Windra Aini, Mohamad Ridwan,Mohamad Ridwan",6
Perilaku Konsumen = Consumer Behaviour Edisi 7,2018,Perilaku Konsumen," Leon Schiffman, Leslie Lazar Kanuk,Leon Schiffman",6
Perilaku Konsumen: Pendekatan Praktis Disertai Himpunan Jurnal Penelitian,2013,Perilaku Konsumen," SANGADJI,Dr.Etta Mamang,SANGADJI",6
Perpajakan Indonesia Edisi 4,2015,Perpajakan," Thomas Sumarsan,Thomas Sumarsan",6
Prinsip-Prinsip Pemasaran Jilid 2,2008,Manajemen Pemasaran," AMSTRONG, KOTLER,Gary,KOTLER,Philip",6
Prinsip-Prinsip Pemasaran: Plus Tren terkini,2015,Manajemen Pemasaran," Ari Setiyaningrum, Efendi, Jusuf Udaya,Ari Setiyaningrum",6
Sistem Informasi Akuntansi Buku 1 Ed.4,2009,Sistem Informasi Akuntansi," HALL, James A.,HALL",6
Sistem Informasi Akuntansi Ed.1,2011,Sistem Informasi Akuntansi," Mardi,Mardi",6
Sistem Informasi Manajemen Edisi 2,2013,Manajemen Informasi," Eti Rochaety, Faizal Ridwan Z, Tupi Setyowati,Eti Rochaety",6
Sistem Pengendalian Manajemen = Management Control System Edisi 11 Buku 1,2005,Manajemen Sumber Daya Manusia," ANTHONY, GOVINDARAJAN, Robert, Vijay,ANTHONY",6
"Sistem Pengendalian Manajemen: pengukuran kinerja, evaluasi, dan in-sentif Ed.3",2014,Manajemen Sumber Daya Manusia," MERCHANT, STEDE,Kenneth A.,MERCHANT,Wim A.Van der",6
Structural Equation Modeling: Belajar Lebih Mudah Teknik Analisis Data Kuesioner dengan Lisrel-PLS,2009,Ilmu Komputer," KURNIAWAN, YAMIN,Heri,Sofyan,YAMIN",6
"Struktur data, Algoritma dan struktur data 2 dengan C,C++",2012,Ilmu Komputer," Moh. Sjukani,Moh. Sjukani",6
"Supply Chain Management: lengkap membahas strategi, perancangan, operasional, dan perbaikan supply chain untuk mencapai daya saing Edisi 3",2017,Manajemen Strategi," Mahendrawathi Er, Nyoman Pujawan,M.Sc.,Mahendrawathi Er,Ph.D.,ST.",6
Teori dan Aplikasi Aljabar Linier dan Matriks: Dengan Implementasi Aljabar Linier & Matriks menggunakan Matlab,2010,Matematika Terapan," Bowo N, Edy Mulyanto, Erna ZA, Setia A, Yuniarsih Rahayu,T. Sutojo",6
Accounting Indonesia Adaptation Volume 1 Edition 4,2017,Akuntansi," Amir Abadi, Carl S., DUCHAC, Ersa Tri, JUSUF, James M., Jonathan E., REEVE, WAHYUNI,WARREN",5
Analisis Laporan Keuangan Buku 2 Edisi 11,2017,Laporan Keuangan," K.R., Subramanyam,Subramanyam",5
Audit Sistem Informasi + Pendekatan CobiT,2007,Audit Keuangan," GONDODIYOTO,GONDODIYOTO,Sanyoto",5
Auditing : Petunjuk Praktis Pemeriksaan Akuntan oleh Akuntan Publik Ed 5 Buku 2,2017,Audit Keuangan," AGOES,AGOES,Sukrisno",5
Basis Data Revisi Ketiga,2018,Ilmu Komputer," FATHANSYAH,FATHANSYAH",5
Customer Services Excellent: Teori dan Praktik,2017,Marketing," Kasmir,Kasmir",5
Economics Pengantar Mikro dan Makro Edisi 5,2013,Ilmu Ekonomi," Iskandar Putong,Iskandar Putong",5
Keamanan sistem informasi,2011,Ilmu Komputer," IBISA,IBISA",5
Kelembagaan Perbankan Ed 2,1997,Ekonomi Keuangan," ABDULLAH, ANANDA, APPONO, Azhar, C. Tinon Yunianti, Djuhaepah T., Dr. Thomas Suyatno, Johan Thomas,MARALA",5
Kewirausahaan Ed.2,2014,Kewirausahaan," Leonardus Saiman,Leonardus Saiman",5
Manajemen Impor dan Importasi Indonesia,2013,"Perdagangan, Komunikasi, Transportasi"," Herman Budi Sasono,Herman Budi Sasono",5
Manajemen Kesehatan Bank Berbasis Risiko,2016,Ekonomi Keuangan," Ikatan Bankir Indonesia,Ikatan Bankir Indonesia",5
Manajemen Perkreditan Bagi Bank Komersil,1996,Ekonomi Keuangan," MULJONO, Teguh Pudjo,MULJONO",5
Menganalisa Statistik Bisnis dan Ekonomi dengan SPSS 21,2013,Bisnis," Budi Setiawan,Budi Setiawan",5
Pendidikan Agama Islam Untuk Perguruan Tinggi,2014,Islam," Ali Hamzah,Ali Hamzah",5
Pendidikan Agama Islam: Untuk Perguruan Tinggi,2017,Islam," Mardani,Mardani",5
Pengantar Akuntansi Ed.25,2015,Akuntansi," WARREN,Carl S.,WARREN",5
Perilaku Konsumen: Teori dan Penerapannya dalam Pemasaran Edisi 2,2011,Perilaku Konsumen," Ujang Sumarwan,Ujang Sumarwan",5
Perpajakan Edisi Revisi 2011,2011,Perpajakan," MARDIASMO,MARDIASMO",5
Sistem Akuntansi Ed.3,2013,Akuntansi," MULYADI,MULYADI",5
Sistem Informasi Manajemen Bagian II : Struktur dan Pengembangannya,1985,Manajemen Informasi," DAVIS, Gordon B.,DAVIS",5
The Power of Good Corporate Governance,2009,Manajemen," Muh. Arief Effendi,Muh. Arief Effendi",5
Akuntansi BIaya Buku 2 Ed.14,2009,Akuntansi Biaya," CARTER, Milton F., USRY, William K.,CARTER",4
Akuntansi biaya Edisi 2,2016,Akuntansi Biaya," Riwayadi,Riwayadi",4
Akuntansi Biaya Jilid 1 Ed.12,2008,Akuntansi Biaya," Charles T., DATAR, HORNGREN, Srikant M.,HORNGREN",4
Akuntansi Edisi 7 Jilid 1,2007,Akuntansi," HARRISON, HORNGREN,HARRISON",4
"Akuntansi Hijau: Isu, Teori, dan Aplikasi",2018,Akuntansi," LAKO Andreas,LAKO Andreas",4
Akuntansi Intermediate Volume Komprehensif Jilid 2,1989,Akuntansi Intermediate," Jay M. Smith, K. Fred Skousen,Jay M. Smith",4
Akuntansi Keuangan Perspektif IFRS Edisi 2 Buku 1,2015,Akuntansi Lanjutan," Nelson Lam, Peter Lau,Nelson Lam",4
Akuntansi Manajemen,2013,Akuntansi Manajerial," RUDIANTO,RUDIANTO",4
Akuntansi Manajerial Buku 2 Ed.8,2011,Akuntansi Manajerial," HANSEN, MOWEN,Don R.,HANSEN,Maryanne M.",4
"Akuntansi Pajak: Teori, Praktik dan Implementasi",2022,Perpajakan," Agustine Dwianika, Lawe Anasta, Lin Oktris,Selva Temalagi",4
Amor Fati,2019,Retorika & Kumpulan Karya Sastra," Rando Kim,Rando Kim",4
Analisis Laporan Keuangan Buku 1 Edisi 11,2017,Laporan Keuangan," K.R., Subramanyam,Subramanyam",4
Analisis Laporan Keuangan Edisi 10 Buku 2,2013,Laporan Keuangan," John J. Wild, K. R. Subramanyam,K. R. Subramanyam",4
Analisis Laporan Keuangan: Financial Statement Analysis,2010,Laporan Keuangan," SUBRAMANYAM, WILD,John J.,K.R.,SUBRAMANYAM",4
Analisis Saham Pendekatan Fundamental,2009,Ekonomi Keuangan," Werner R. Murhadi,Werner R. Murhadi",4
"Anggaran Bisnis: Analisis, Perencanaan, Dan pengendalian Laba Ed.1",2011,Manajemen Bisnis," ADISAPUTRO, ANGGARINI,ADISAPUTRO,Gunawan,Yunita",4
Aplikasi Analisis Multivariate Dengan Program IBM SPSS 23 Edisi 8,2016,Matematika Terapan," GHOZALI, Imam,GHOZALI",4
Auditing dan Pel.Verifikasi Jilid 2 Ed.9,2007,Audit Keuangan," ARENS, Alvin A., ELDER, Randal J.,ARENS",4
Auditing Edisi 4 Buku 1,2014,Audit Keuangan," Sukrisno Agoes,Sukrisno Agoes",4
Auditing:Jawaban Ed.1,2004,Audit Keuangan," AGOES,AGOES,Prof.Dr.Sukrisno",4
Bank dan Lembaga Keuangan Lain,2011,Ekonomi Keuangan," Julius R. Latumaerisa,Julius R. Latumaerisa",4
Bila Orang-Orang Piawai Gagal,1995,Psikilogi," Carole Hyatt, Linda Gottlieb,Carole Hyatt",4
Bisnis Internasional = International Business Edisi 12 Buku 1,2014,Kewirausahaan," Donald A. Ball, J.Michael Geringer, Jeanne M.Mchett,Michael S. Minor",4
Cara Mudah Mempelajari Basis Data,2022,Ilmu Komputer," Ade Mulyana, Septian Cahyadi, Suci Sutjipto,Anton Sukamto",4
"Cerdas, Kritis, dan Aktif Berwarganegara",2010,Kewarganegaraan," Heri Herdiawanto, Jumanta Hamdayama,Heri Herdiawanto",4
Critical Eleven,2018,Retorika & Kumpulan Karya Sastra," Ika Natassa,Ika Natassa",4
Dasar-Dasar Manajemen Keuangan = Essentials of Financial Management Edisi 11 Buku 2,2011,Manajemen Keuangan," BRIGHAM, HOUSTON,BRIGHAM,Eugene F.,Joel F.",4
Dasar-dasar Manajemen Keuangan Edisi 11 Buku 1,2015,Manajemen Keuangan," Eugene F. Brigham, Houston, Joel F.,Houston",4
Demona,2015,Retorika & Kumpulan Karya Sastra," Anto Nugroho, Bayu Abdinegoro,Anto Nugroho",4
Ekonomi Moneter,2009,Ilmu Ekonomi," Mugi Rahardjo,Mugi Rahardjo",4
"Etika Bisnis dan Profesi: untuk Direktur, Eksekutif, dan Akuntan Edisi 5 Buku 1",2014,Etika Profesi," BROOKS, DUNN,BROOKS,Leonard J.,Paul",4
Etika Bisnis: Panduan Bisnis Berwawasan Lingkungan Bagi Profesional Indonesia,2019,Etika Profesi," Conny Tjandra, Siti Al Fajar, Tri Hendro,Nikodemus Hans Setiadi Wijaya",4
Generasi Z,2019,Manajemen," David Stillman, Jonah Stillman,David Stillman",4
Introduction to Management Accounting Edisi 16 (Global Edition),2014,Manajemen," David Burgstahler, Gary L. Sundem, Jeff Schatzberg,Charles T. Horngren",4
Jingga Untuk Matahari,2017,Retorika & Kumpulan Karya Sastra," Esti Kinasih,Esti Kinasih",4
Kewirausahaan Edisi 4,2014,Kewirausahaan," SURYANA,SURYANA",4
Kompilasi UU Perpajakan Terlengkap Ed.2014,2014,Hukum Pajak," ARYANTO, FITRIANDI,FITRIANDI,Primandita,Yuda",4
"Manajemen : Teori, Kasus, dan Solusi",2014,Manajemen," Irham Fahmi,Irham Fahmi",4
Manajemen Keuangan Edisi 9 Jilid 1,2004,Manajemen Keuangan," KEOWN, MARTIN,Arthur J.,John D.,KEOWN",4
Manajemen Operasi Edisi 11,2015,Manajemen Operasi," Barry Render, Jay Heizer,Jay Heizer",4
Manajemen Operasi Edisi 7 Buku 1,2006,Manajemen Operasi," HEIZER, RENDER,Barry,HEIZER,Jay",4
Manajemen Operasi Perspektif Asia Edisi 9 Buku 1,2015,Manajemen Operasi," Sum Chee Chuong, William J. Stevenson,William J. Stevenson",4
Manajemen Pemasaran,2015,Manajemen Pemasaran," Francis Tantri, Thamrin Abdullah,Thamrin Abdullah",4
Manajemen Perbankan,2005,Ekonomi Keuangan," DENDAWIJAYA, Lukman,DENDAWIJAYA",4
Manajemen Perubahan (Management of Change),2015,Manajemen," J. Winardi,J. Winardi",4
Manajemen Risiko Perbankan,2006,Ekonomi Keuangan," IDROES Ferry N,IDROES Ferry N",4
Manajemen Ritel Ed.2,2010,Manajemen Ritail," ALAMSJAH, LOEIS,ALAMSJAH,Firdaus A.,Minaldi",4
Manajemen Ritel Edisi 3 : Strategi dan Implementasi Operasional Bisnis Ritel Modern di Indonesia,2017,Manajemen Strategi," Christina Whidya, UTAMI,UTAMI",4
"Manajemen Strategis : Formulasi, implementasi, dan Pengendalian Buku 1 Ed.10",2008,Manajemen Strategi," PEARCE II, ROBINSON JR.,John A.,PEARCE II,Richard B.",4
Manajemen Sumber Daya Manusia Jilid 1,2001,Manajemen Sumber Daya Manusia," SIAGIAN,SIAGIAN,Sondang P.",4
Marketing in Travel and Tourism,2009,Pariwisata," Alan Fyall, Ashok Rannchod, Michael Morgan,Victor T. C. Middleton",4
Matematika Ekonomi dan Bisnis Buku 1 Edisi 3,2015,Matematika Terapan," Josep Bintang Kalangi,Josep Bintang Kalangi",4
Memahami Penelitian Kualitatif,2014,Metode Riset," SUGIYONO,SUGIYONO",4
Merancang Penelitian Bisnis dengan Alat Analisis SPSS 17.0 dan SmartPLS 2.0,2011,Ilmu Komputer," Gendro Wiyono,Gendro Wiyono",4
Metode Penelitian Bisnis,2014,Bisnis," SUGIYONO,SUGIYONO",4
Metode Riset Akuntansi : Pendekatan Kuantitatif,2017,Metode Riset," Grahita Chandrarin,Grahita Chandrarin",4
Mikroekonomi Edisi 6 Jilid 2,2010,Kewirausahaan," Daniel L. Rubinfeld, Robert S. Pindyck,Robert S. Pindyck",4
Millennials Who Manage,2018,Retorika & Kumpulan Karya Sastra," Chip Espinoza, Joel Schwarzbart,Chip Espinoza",4
Model Bisnis Keuangan Mikro Syariah Indonesia,2019,Ekonomi Keuangan," Ali Sakti, Enny Tin Suryati, Ferry Syarifuddin,SUDARSONO",4
Penganggaran,2009,Manajemen Anggaran," RUDIANTO,RUDIANTO",4
Pengantar Akuntansi Dengan Tinjauan Syariah Buku 1,2018,Akuntansi," Evony Silvino Violita, Tjiptohadi Sawarjuwono, Wasilah Abdullah,Sri Nurhayati",4
Pengantar Akuntansi Ed.25,2015,Akuntansi," REEVE, WARREN,Carl S.,James M.,WARREN",4
Pengantar Bisnis,2014,Bisnis," Ismail Solihin,Ismail Solihin",4
Pengantar Bisnis = Introduction to Business Edisi 11,2014,Bisnis," HUGHES, PRIDE,PRIDE,Robert J.,William M.",4
Pengantar Ekonomi Mikro dan Makro Edisi Revisi,2018,Kewirausahaan," Made Kembar Sri Budhi, Paulus Kurniawan,Paulus Kurniawan",4
Pengantar Manajemen Keuangan Edisi Kedua,2019,Manajemen Keuangan," Kasmir,Kasmir",4
Pengantar Sistem Informasi Edisi 16 Buku 2,2017,Manajemen Informasi," George M. Marakas, James A. O'Brien,George M. Marakas",4
Perilaku Konsumen & Strategi Pemasaran Buku 2 Edisi 9,2014,Manajemen Strategi," OLSON, PETER,J.Paul,Jerry C.,PETER",4
Perilaku Organisasi : organizational behavior Edisi 16,2016,Manajemen Organisasi," ROBBINS, Timothy A. Judge,ROBBINS,Stephen P.",4
Perilaku Organisasi = Organizational Behavior Edisi 12 Buku 2,2008,Manajemen Organisasi," JUDGE, ROBBINS,ROBBINS,Stephen P.,Timothy A.",4
Perpajakan Indonesia: Prinsip Dan Praktik,2018,Perpajakan," TMBooks,TMBooks",4
Pokok-pokok Hukum Bisnis,2015,Gastronomi," Arus Akbar Silondae, Wirawan B. Ilyas,Arus Akbar Silondae",4
Prinsip-Prinsip Manajemen Keuangan = Fundamentals of Financial Management Edisi 12 Buku 1,2009,Manajemen Keuangan," HORNE, WACHOWICZ Jr.,HORNE,James C.Van,John M.",4
Prinsip-Prinsip Manajemen Keuangan = Fundamentals of Financial Management Edisi 13 Buku 1,2013,Manajemen Keuangan," HORNE, WACHOWICZ Jr.,HORNE,James C.Van,John M.",4
Prinsip-Prinsip Manajemen Keuangan = Fundamentals of Financial Management Edisi 13 Buku 2,2014,Manajemen Keuangan," James C. Van Horne, John M. Wachowicz, Jr,James C. Van Horne",4
Prinsip-Prinsip Pemasaran Jilid 1 Ed.12,2008,Manajemen Pemasaran," AMSTRONG, KOTLER,Gary,KOTLER,Philip",4
Professional Waiter (pramusaji ahli),2016,Gastronomi," H.Marsum Widjojo, Hj.Siti Fauziah, S.Pd.,APP.,H.Marsum Widjojo,M.Kes.,SE.",4
Restoran dan Kegiatannya,2018,Kewirausahaan," CHT, Firman Sinaga, M. Si. Par., SST.Par.,Firman Sinaga",4
Sistem Informasi Manajemen Ed.13,2015,Manajemen Informasi," LAUDON, LAUNDON,Jane P.,Kenneth C.,LAUDON",4
Sistem Informasi Manajemen Edisi 13,2015,Manajemen Informasi," Jane P. Laudon, Kenneth C. Laudon,Kenneth C. Laudon",4
Sistem Informasi Manajemen Edisi 9 Buku 2,2014,Manajemen Informasi," George M. Marakas, James A. O\'Brien,James A. O\'Brien",4
Statistik: untuk Bisnis dan Ekonomi Edisi 11 Buku 1,2011,Matematika Terapan," BENDON, McCLAVE,James T.,McCLAVE,P.George",4
Statistika Untuk Ekonomi dan Keuangan Modern Edisi 3 Buku 1,2018,Matematika Terapan," SUHARYADI,SUHARYADI",4
Teori Akuntansi,2018,Akuntansi," Hery,Hery",4
Teori Manajemen Keuangan: Suatu Tinjauan Praktis,2008,Manajemen Keuangan," Noor Achmad,Noor Achmad",4
Teori Portofolio dan Analisis Investasi Edisi 11,2019,Manajemen Investasi," HARTONO,HARTONO,Jogiyanto",4
The Alchemist,2002,Retorika & Kumpulan Karya Sastra," Panlo Coelho,Panlo Coelho",4
The Algebra of Happiness,2019,Diri," Scott Galloway,Scott Galloway",4
The Ikigai Journey,2020,Parapsikologi," Francesc Miralles, Hector Garcia,Hector Garcia",4
The Orange Girl,2019,Retorika & Kumpulan Karya Sastra," Jostein Gaarder,Jostein Gaarder",4
#BerhentiDiKamu,2020,Retorika & Kumpulan Karya Sastra," Gia Pratama,Gia Pratama",3
Accounting Indonesia Adaptation 25Th Edition,2014,Akuntansi," James M. Reeve, Jonathan E. Duchac,Carl S. Warren",3
Akuntansi Biaya,1991,Akuntansi Biaya," MULYADI,MULYADI",3
Akuntansi Keuangan  Edisi 8 Jilid 2,2013,Akuntansi Lanjutan," C. William Thomas, Charles T. Horngren,Walter T. Harrison Jr",3
Akuntansi Keuangan: International Financial Reporting Standards IFRS Edisi 8 Jilid 1,2012,Akuntansi Lanjutan," C. William Thomas, Charles T. Horngren,Walter T. Harrison Jr",3
Akuntansi Perbankan Syariah Edisi 2,2014,Akuntansi," Ahim Abdurahim, Aji Erlangga Martawireja,Rizal Yaya",3
Akuntansi Sektor Publik Edisi 3,2010,Akuntansi," Indra Bastian,Indra Bastian",3
Anak Rembulan,2020,Retorika & Kumpulan Karya Sastra," Djokolelono,Djokolelono",3
Analisis dan Valuasi Bisnis berbasis IFRS Edisi 2,2014,Bisnis," ERIK PEEK, PAUL M. HEALY,KRISHNA G. PALEPU",3
Analisis Fundamental Saham Edisi 2,2015,Ekonomi Keuangan," WIRA,Desmond,WIRA",3
Analisis Laporan Keuangan,2006,Laporan Keuangan," JUMINGAN,JUMINGAN",3
Analisis Laporan Keuangan: Integrated and Comprehensive Edition,2018,Laporan Keuangan," Hery,CRP.,Hery,M.Si.,RSA.,SE.",3
Aroma Karsa,2019,Retorika & Kumpulan Karya Sastra," Dee Lestari,Dee Lestari",3
Auditing and Assurance Services an Integrated Approach,2009,Audit Keuangan," Mark S. Beasley, Randal J. Elder,Alvin A. Arens",3
Auditing Buku 2 Ed.4,2013,Audit Keuangan," AGOES,AGOES,Prof.Dr.Sukrisno",3
Belajar machine learning : teori dan praktik,2018,Ilmu Komputer," Rifkie Primartha,Rifkie Primartha",3
Bilangan FU,2019,Ilmu Teknik," Ayu Utami,Ayu Utami",3
Brand Operation,2010,Marketing," Andrizal, Anthony Darmaja,Desy Handayani",3
Buku Pintar Pengelolaan BPR dan Lembaga Keuangan Pembiayaan Mikro,2013,Ekonomi Keuangan," Ali Suyanto Herli,Ali Suyanto Herli",3
Bunga Rampai Akuntansi Pemerintahan,2016,Akuntansi," Jan Hoesada,Jan Hoesada",3
Dasar-Dasar Akuntansi Manajerial Edisi 5,2017,Akuntansi Manajerial," HEITGER L.Dan, MOWEN,Don R.,HANSEN,Maryanne M.",3
Dasar-dasar Kewirausahaan,2014,Kewirausahaan," Hetty Karunia Tunjungsari, Mei le,Franky Slamet",3
Dasar-Dasar Manajemen Keuangan Perusahaan Edisi 5 Jilid 2,2008,Manajemen Keuangan," Alan J., BREALEY, MYERS, Richard A., Stewart C.,MARCUS",3
Dasar-Dasar Statistika Edisi Revisi,2013,Matematika Terapan," Riduwan,Riduwan",3
"Decision support systems and intelligent systems : (sistem pendukung keputusan dan sistem cerdas) Ed 7, Jilid 1",2005,Manajemen," Jay E. Aronson, Ting Peng Liang,Efraim,TURBAN",3
"Decision support systems and intelligent systems : (sistem pendukung keputusan dan sistem cerdas) Ed 7, Jilid 2",2005,Ensiklopedia," Aronson, Efraim, Jay E., Liang, Ting-Peng,Turban",3
Ekonomi Kreatif Ekonomi Baru : Mengubah Ide dan Menciptakan Peluang,2013,Ilmu Ekonomi," SURYANA,SURYANA",3
Ekspor Impor: Teori & Penerapannya,2003,"Perdagangan, Komunikasi, Transportasi"," AMIR, MS.,AMIR",3
Emma,2019,Retorika & Kumpulan Karya Sastra," Jane Austen,Jane Austen",3
Fish! For Life,2004,Pendidikan Karakter," Harry Paul, John Christensen,Stephen C. Lundin",3
Hatta Aku Datang Karena Sejarah,2018,Retorika & Kumpulan Karya Sastra," Sergius Sutanto,Sergius Sutanto",3
Jasa Audit dan Assurance Buku 1 Edisi 8,2014,Audit Keuangan," Douglas F. Prawitt, Steven M. Glover,William F. Messier",3
Keuangan Internasional Edisi 6 Buku 1,2013,Manajemen Keuangan," Bruce G. Resnick, Sanjiv Sabherwal,Cheol S. Eun",3
Komunikasi Bisnis dan Profesional,2000,Marketing," FLOYD, Yuyun Wirasasmita,CURTIS,Dan B.,James J.",3
Komunikasi Bisnis Edisi 3,2006,Marketing," PURWANTO,Djoko,PURWANTO",3
Komunikasi Lintas Budaya = Communication Between Cultures Edisi 7,2010,Ilmu Sosial," Edwin R. MvDaniel, Richard E. Porter,Larry A. Samovar",3
Manajemen Edisi 2,1999,Manajemen," HANDOKO, T. Hani,HANDOKO",3
Manajemen Ekspor dan Perdagangan International,2013,"Perdagangan, Komunikasi, Transportasi"," Herman Budi Sasono,Herman Budi Sasono",3
Manajemen Keuangan Bisnis: Konsep dan Aplikasinya,2015,Administrasi Negara," Abdul Halim,Abdul Halim",3
Manajemen Keuangan Multinasional Edisi 11 Jilid 1,2010,Manajemen Keuangan," Arthur I. Stonehill, Michael H. Moffett,David K. Eiteman",3
Manajemen Keuangan Perusahaan: Teori dan Praktik,2011,Manajemen Keuangan," SUDANA,I Made,SUDANA",3
Manajemen Pemasaran Bank,2013,Manajemen Pemasaran," Sentot Imam Wahjono,Sentot Imam Wahjono",3
Manajemen Pemasaran Internasional,2011,Manajemen Pemasaran," Jajat Kristanto,Jajat Kristanto",3
Manajemen Pemasaran Internasional Ed.1,2011,Manajemen Pemasaran," KRISTANTO,Jajat,KRISTANTO",3
Manajemen Pemasaran Strategik Bank di Era Global: Menciptakan Nilai Unggul Untuk Kepuasan Nasabah,2017,Manajemen Pemasaran," Tatik Suryani,Tatik Suryani",3
Manajemen Pemasaran: Suatu Pendekatan Strategis dengan Orientasi Global Edisi 2 Jilid 1,2000,Manajemen Pemasaran," Harper W Jr., Jean Claude, Jr., LARRECHE, Orville C. Walker,BOYD",3
Manajemen Personalia & Sumberdaya Manusia Edisi 2,2000,Manajemen Sumber Daya Manusia," HANDOKO, T. Hani,HANDOKO",3
Manajemen Sumber Daya Manusia Edisi 2,2014,Manajemen Sumber Daya Manusia," Marwansyah,Marwansyah",3
Manajemen Sumber Daya Manusia: Mencapai Keunggulan Bersaing Edisi 6 Buku 1,2014,Manajemen Sumber Daya Manusia," Barry Gerhart, John R. Hollenbeck,Raymond A. Noe",3
Matematika Keuangan Edisi 3 Revisi,2014,Matematika Terapan," FRENSIDY,Dr.Budi,FRENSIDY",3
"Pengantar Kewirausahaan : Mengenal, Memahami, Dan Mencintai Dunia Bisnis : Intrapreneurship, Technopreneur, Dan Inspirasi Tata Kelola Organisasi, Kepemilikan Bisnis, Etika Bisnis, Kecerdasan Wirausaha, Modal Lingkungan, Pesaing, Pemasaran, Dan Waralaba, Monitoring Dan Evaluasi",2021,Kewirausahaan," Mohamad Irvan Septiar Musti, Nur Inayah,Achmad Tjachja Nugraha",3
Pengenalan Sistem Informasi edisi Revisi,2014,Ilmu Komputer," Abdul Kadir,Abdul Kadir",3
Perencanaan Pajak Edisi 6,2017,Perpajakan," SUANDY,Erly,SUANDY",3
Perpajakan Edisi 17,2013,Perpajakan," MARDIASMO,MARDIASMO",3
Placebo,2019,Retorika & Kumpulan Karya Sastra," Pia Devina,Pia Devina",3
Protein: Serial Biokimia Mudah dan Menggugah,2017,Biokimia," Debbie Soefie Rtenoningrum, Wangsa Tirta Ismaya,Maggy Thenawidjaja",3
Sales Operation,2010,Manajemen Pemasaran," Andrizal, Anthony Darmaja,Desy Handayani",3
Sistem Informasi Akuntansi,2013,Sistem Informasi Akuntansi," Azhar Susanto,Azhar Susanto",3
Sistem Informasi Akuntansi Edisi 2,2017,Sistem Informasi Akuntansi," BARIDWAN, Zaki,BARIDWAN",3
Sistem Operasional Praktikum Bank Mini,2019,Ekonomi Keuangan," Bambang Raharjo, Tri Marlina,MUANAS",3
Sistem Pengendalian Manajemen Edisi 2,2013,Manajemen," Thomas Sumarsan,Thomas Sumarsan",3
Statistika untuk Bisnis dan Ekonomi,2009,Matematika Terapan," Lukas Setia Atmaja,Lukas Setia Atmaja",3
Statistika untuk Bisnis dan Ekonomi,2010,Bisnis," Sakti Silaen,Sakti Silaen",3
Statistika Untuk Ekonomi dan Keuangan Modern Edisi 3 Buku 2,2018,Matematika Terapan," SUHARYADI,SUHARYADI",3
Strategic Marketing,2012,Manajemen Strategi," Sofjan Assauri,Sofjan Assauri",3
STRUKTUR DATA,2018,Ilmu Komputer," ROSA A.S,ROSA A.S",3
The Book of Ikigai,2020,Parapsikologi," Ken Mogi,Ken Mogi",3
The Business of The 21st Century,2018,Manajemen," John Fleming, Kim Kiyosaki,Robert T. Kiyosaki",3
The Siren,2019,Retorika & Kumpulan Karya Sastra," Kiera Cass,Kiera Cass",3
The Subtle Art of Not Giving a Fuck,2016,Diri," Mark Manson,Mark Manson",3
99 Cahaya di Langit Eropa,2018,Retorika & Kumpulan Karya Sastra," Rangga Almahendra,Hanum Salsabiela Rais",2
Akuntansi Biaya,1993,Akuntansi Biaya," MULYADI,MULYADI",2
Akuntansi Biaya,2020,Akuntansi Biaya," Desi Efrianti,IRIYADI",2
Akuntansi Biaya Dasar dan Perkembangan Edisi 7 Buku 1,2011,Akuntansi Biaya," Michael R. Kinney,Cecily A. Raiborn",2
Akuntansi Biaya Edisi 13 Buku 2,2005,Akuntansi Biaya," CARTER, William K.,CARTER",2
Akuntansi Biaya Jilid 1 Ed.11,2008,Akuntansi Biaya," Charles T., DATAR, Srikant M.,HORNGREN",2
